time,algoritimo,server,carId, CoordX, CoordY, idObj,SizeObj,obDetect,prioridadeVideo,deadline,coordObjX,coordObjY,
50.26,2,server1,20,370602,779.8,186,1.95448,0,2,155.55,553.32,720413,
66302,2,server1,22,770.2,616399,186,1.95448,0,2,171592,553.32,720413,
48.17,2,server1,24,334421,776.6,186,1.95448,0,2,153.46,553.32,720413,
71299,2,server1,26,770.2,640476,186,1.95448,0,2,176589,553.32,720413,
61313,2,server1,28,483279,776.6,186,1.95448,0,2,166603,553.32,720413,
77295,2,server1,30,770.2,534787,186,1.95448,0,2,182585,553.32,720413,
29326,2,server1,22,770.2,83.1754,187,0.721849,2,0,90648,837141,-203899,
30247,2,server1,6,770.2,318461,188,0.794283,1,0,91658,562776,228096,
29419,2,server1,14,770.2,213942,188,0.794283,1,0,90.83,562776,228096,
29415,2,server1,18,770.2,151709,188,0.794283,1,0,90826,562776,228096,
29413,2,server1,22,770.2,83.1754,188,0.794283,1,0,90824,562776,228096,
29474,2,server1,18,770.2,151709,189,0.500424,2,2,147944,508686,126.87,
29473,2,server1,22,770.2,84.6119,189,0.500424,2,2,147943,508686,126.87,
29475,2,server1,26,770.2,42.2189,189,0.500424,2,2,147945,508686,126.87,
30114,2,server1,18,770.2,163194,190,1.20584,2,2,150226,518418,19.2087,
30112,2,server1,26,770.2,46748,190,1.20584,2,2,150224,518418,19.2087,
30247,2,server1,6,770.2,318461,191,0.600166,2,1,103373,548.39,162681,
30128,2,server1,22,770.2,94.7373,191,0.600166,2,1,103254,548.39,162681,
30129,2,server1,26,770.2,47.5744,191,0.600166,2,1,103255,548.39,162681,
30247,2,server1,6,770.2,318461,192,0.71146,1,0,91376,638074,324824,
39179,2,server1,14,770.2,369321,192,0.71146,1,0,100308,638074,324824,
30131,2,server1,18,770.2,163194,192,0.71146,1,0,91.26,638074,324824,
30133,2,server1,22,770.2,94.7373,192,0.71146,1,0,91262,638074,324824,
30151,2,server1,18,770.2,163194,193,1.19049,2,0,91301,824394,-90.6852,
30155,2,server1,22,770.2,94.7373,193,1.19049,2,0,91305,824394,-90.6852,
38716,2,server1,30,770.2,97.9256,195,1.20523,2,1,132963,1055.29,190.33,
36015,2,server1,26,770.2,123744,196,1.85736,2,2,142268,1049.65,232845,
41007,2,server1,30,770.2,124012,196,1.85736,2,2,147.26,1049.65,232845,
39179,2,server1,14,770.2,369321,197,0.656558,2,1,112441,917988,426349,
39166,2,server1,26,770.2,169241,197,0.656558,2,1,112428,917988,426349,
44711,2,server1,30,770.2,165946,197,0.656558,2,1,117973,917988,426349,
39179,2,server1,14,770.2,369321,200,0.438783,2,2,175296,999506,297416,
39309,2,server1,30,770.2,104721,200,0.438783,2,2,175426,999506,297416,
39179,2,server1,14,770.2,369321,202,1.34399,2,2,175302,758783,245748,
39179,2,server1,14,770.2,369321,203,0.854088,1,2,142303,791488,298747,
